Front,Back,Tags
LLM 的一句话本质是什么？,一个下一 token 的概率预测器（在海量文本上压缩出的统计引擎）。,primer
什么是 Context Window？越长越好吗？,一次对话能塞的 token 数。不是越长越好——长上下文末端服从度下降（Lost in the Middle）。,primer
Temperature=0 和 Temperature=1 的区别？,0 最确定，1 发散。SRE 场景多用 0-0.3。,primer
Tool use / function calling 的本质？,模型只会描述想做什么，实际执行由宿主代码完成。,primer
RAG 是什么？,Retrieval-Augmented Generation。查询 → embedding → 向量库检索 → 拼进 prompt → 生成。,primer
4 种必见失败模式？,幻觉、截断、注入、漂移。,primer
每步 95% 正确的 10 步 Agent 端到端正确率约多少？,~60%（0.95^10 ≈ 0.599）。,knowledge
复合系统可靠性工程的两件新工作？,Step 预算 + Verifier 插入点。,knowledge
LLM 推理服务必须分开定 SLO 的两个指标？,TTFT（首 token 延迟）和 tokens/s（输出速度）。,knowledge
容量规划新三角？,GPU 显存 × 上下文长度 × QPS，三者互相约束。,knowledge
静默降级（Silent Degradation）是什么？,指标全绿但系统数学已经坏了（bf16/fp32 失配、XLA 怪癖、kernel 非确定性）。,knowledge
Lethal Trifecta 三个组成？,不受信输入 + 工具访问 + 外泄通道。三者共存 = 攻击可行。,knowledge
Prompt injection 的正确防御层在哪？,基础设施层（沙箱 / egress 白名单 / capability-scoped 凭证），不是 prompt 层。,knowledge
为什么 trace 和 eval 应该是一套系统？,Traces 就是 eval 数据集，evals 就是生产监控。分成两套会数据断裂、重复投入。,knowledge
三层 Eval 分别是？,L1 Assertion（硬规则）/ L2 Judge 模型 / L3 A/B + 用户反馈。,knowledge
AI 系统参考架构的四个面是什么？为什么面的划分比组件划分更重要？,控制面（网关/Prompt/记忆）、能力面（编排/模型/检索/工具）、质量面（Eval/数据飞轮/红队）、运维面（可观测/Registry/预算）。组织通常按面分团队，跨面接缝是事故和扯皮的高发区——面划分错了，组件再全也是结构性问题。,architecture
参考架构中描述每个组件的契约卡五栏是什么？,职责（一句话，写不完说明该拆）、SLO（必须可数值化）、失败模式（写不出 = 只画过没设计过）、归属（RACI 的 R，单一团队）、可替换边界（什么变了组件就要重写）。,architecture
RAG 系统里换 embedding 模型和换向量库，哪个才是真正的不可逆点？,换 embedding 模型——新旧向量不在同一空间，需全量 re-embed + reindex + 重测召回（约 3-6 个月）。只换向量库便宜得多：向量可导出迁移，只需 reindex。,architecture
从多上游网关（M 档）跨到自建推理（L 档）的硬门槛是什么？,Eval / Trace / Registry 等控制面已稳定运行 ≥ 6 个月——L 档对控制面的要求是 M 档的两倍，控制面不稳就上自建等于自杀；另需 ≥ 3 名能写 CUDA、读推理框架源码的工程师。走错档比慢一拍贵一个数量级。,architecture
AI SRE 组织设计的第一原则是什么？,端到端用户感知 SLO 必须有一个单一负责人团队，且该团队有权调度其他团队（ticket 进对方 sprint 排期，不只是开 ticket）。否则事故时各团队指标全绿、互相甩锅，没人回答用户。,architecture
中型公司（50-500 工程师）的三角组织由哪三个团队构成？关键配套设计是什么？,平台 SRE/网关、ML 平台/推理、质量/Eval；应用团队不在三角内，是平台的共同设计者。任何两团队之间必须有固定例会——三个例会缺一个，对应那条边就变成事故源。,architecture
为什么 Eval 团队不能向 ML 汇报？,ML 的 KPI 是模型上线速度，Eval 会退化成「帮 ML 拿绿灯」——等于让被考试的人自己出题。Eval 必须独立汇报（Quality 或 SRE 线），ML 只提供 rubric、不掌控 gold set。,architecture
高 blast-radius 且不可逆的自动化决策（如 Agent 高自治放行），RACI 里的 A 有什么特殊要求？,A 不能填团队名，必须落到具名、过能力门槛、可追责的个人：亲手跑过该链路的红队与 eval、亲自背复盘责任、有权说「不」且不被汇报线推翻——类比注册工程师（PE）对设计签字担责。,architecture
可逆决策与不可逆决策各该用什么速度做？,可逆（错了 1-2 个月能改）快做，不可逆（错了 ≥ 6 个月才能修复）慢做。两类用同样的速度做都是错的——所以做决策前先识别决策类型。,architecture
为什么每个架构决策都必须写下「反向触发条件」？,没有反向条件的决策不是决策，是宗教。必须写明什么数据或事件会让你重新考虑——这是把默认推荐从信仰变成可检验判断的机制。,architecture
RAG vs 微调：微调真正合适的场景是哪两类？,① 输出风格/格式强约束（prompt 调不动）② 领域语言模型（医疗/法律的术语与推理链）。约 80% 的场景 RAG + Prompt 优化能达到同样效果且维护成本低一个数量级——微调被严重高估。,architecture
Agent 自治等级升档为什么会强制 Eval 投入同步升档？,高自治意味着写操作和更大 blast radius，没有人工标注采样级 Eval 就是盲飞。这是六类架构决策强耦合的典型——只在单一决策上推敲、忽略联动是架构师常犯的错。,architecture
AI SRE 成熟度模型 L1-L5 五级分别是什么？,L1 实验性接入 → L2 生产化 → L3 平台化 → L4 可治理 → L5 自我演进。L3 是绝大多数公司的合理终点（再往上 ROI 急剧下降），L5 是理想态北极星而非目标。,architecture
成熟度模型的真正用途是什么（不是评级）？,反向自检：识别假升档比识别真升档重要 10 倍——假升档让组织带着虚假信心做不该做的事。任一维度（可观测/可靠性/安全/成本/组织）不达标，该级就不算达成。,architecture
「全栈自建」能否证明组织达到成熟度 L5？,不能。自建本身不是 L5 标志，任何东西可换才是——组件可换 < 30 天、关键人离职团队仍能交付、新人 4 周可上手。全自建更常见的结局是知识孤岛。,architecture
Eval 和红队的分工差异是什么？为什么不能只做其一或分先后？,Eval 测「我们想做对的事做对了没」，红队测「我们没想到的事会不会被搞坏」。同一类工作的两面，必须一起做、不分先后。,architecture
